model,dataset,scoring,p1,p2,acc
SVC,student,accuracy,100,linear,0.91
SVC,student,precision_macro,100,linear,0.84
SVC,student,recall_macro,100,linear,0.84
KNeighborsClassifier,student,accuracy,10,uniform,0.56
KNeighborsClassifier,student,precision_macro,3,distance,0.41
KNeighborsClassifier,student,recall_macro,1,uniform,0.38
RandomForestClassifier,student,accuracy,None,100,0.97
RandomForestClassifier,student,precision_macro,None,100,0.98
RandomForestClassifier,student,recall_macro,None,100,0.93
MLPClassifier,student,accuracy,identity,0.001,0.65
MLPClassifier,student,precision_macro,relu,1e-05,0.54
MLPClassifier,student,recall_macro,relu,1e-05,0.51
SVC,contraceptive,accuracy,1000,rbf,0.53
SVC,contraceptive,precision_macro,100,rbf,0.53
SVC,contraceptive,recall_macro,1000,rbf,0.50
KNeighborsClassifier,contraceptive,accuracy,3,uniform,0.45
KNeighborsClassifier,contraceptive,precision_macro,3,uniform,0.44
KNeighborsClassifier,contraceptive,recall_macro,3,uniform,0.43
RandomForestClassifier,contraceptive,accuracy,3,100,0.52
RandomForestClassifier,contraceptive,precision_macro,3,30,0.56
RandomForestClassifier,contraceptive,recall_macro,3,100,0.49
MLPClassifier,contraceptive,accuracy,relu,1e-05,0.54
MLPClassifier,contraceptive,precision_macro,relu,0.001,0.52
MLPClassifier,contraceptive,recall_macro,relu,1e-05,0.50
SVC,autism,accuracy,1,linear,1.00
SVC,autism,precision_macro,1,linear,1.00
SVC,autism,recall_macro,1,linear,1.00
KNeighborsClassifier,autism,accuracy,3,distance,0.96
KNeighborsClassifier,autism,precision_macro,30,distance,0.96
KNeighborsClassifier,autism,recall_macro,3,distance,0.96
RandomForestClassifier,autism,accuracy,None,10,1.00
RandomForestClassifier,autism,precision_macro,None,30,1.00
RandomForestClassifier,autism,recall_macro,None,30,1.00
MLPClassifier,autism,accuracy,logistic,1e-06,0.96
MLPClassifier,autism,precision_macro,logistic,0.001,0.96
MLPClassifier,autism,recall_macro,relu,1e-05,0.96
SVC,bankruptcy,accuracy,10,rbf,0.99
SVC,bankruptcy,precision_macro,10,rbf,0.99
SVC,bankruptcy,recall_macro,10,rbf,0.99
KNeighborsClassifier,bankruptcy,accuracy,1,uniform,0.97
KNeighborsClassifier,bankruptcy,precision_macro,1,uniform,0.96
KNeighborsClassifier,bankruptcy,recall_macro,1,uniform,0.97
RandomForestClassifier,bankruptcy,accuracy,None,30,1.00
RandomForestClassifier,bankruptcy,precision_macro,None,10,1.00
RandomForestClassifier,bankruptcy,recall_macro,3,30,0.99
MLPClassifier,bankruptcy,accuracy,relu,0.001,0.87
MLPClassifier,bankruptcy,precision_macro,relu,1e-05,0.89
MLPClassifier,bankruptcy,recall_macro,relu,1e-05,0.90
SVC,breast_cancer,accuracy,1,linear,0.96
SVC,breast_cancer,precision_macro,1,linear,0.95
SVC,breast_cancer,recall_macro,1,linear,0.96
KNeighborsClassifier,breast_cancer,accuracy,10,distance,0.96
KNeighborsClassifier,breast_cancer,precision_macro,10,distance,0.95
KNeighborsClassifier,breast_cancer,recall_macro,10,distance,0.96
RandomForestClassifier,breast_cancer,accuracy,3,50,0.96
RandomForestClassifier,breast_cancer,precision_macro,3,100,0.96
RandomForestClassifier,breast_cancer,recall_macro,None,30,0.96
MLPClassifier,breast_cancer,accuracy,logistic,0.001,0.95
MLPClassifier,breast_cancer,precision_macro,logistic,1e-05,0.95
MLPClassifier,breast_cancer,recall_macro,logistic,1e-05,0.95
SVC,horse,accuracy,1000,poly,0.86
SVC,horse,precision_macro,10,rbf,0.84
SVC,horse,recall_macro,1000,poly,0.86
KNeighborsClassifier,horse,accuracy,30,distance,0.85
KNeighborsClassifier,horse,precision_macro,30,distance,0.85
KNeighborsClassifier,horse,recall_macro,30,distance,0.85
RandomForestClassifier,horse,accuracy,None,50,0.85
RandomForestClassifier,horse,precision_macro,1,50,0.85
RandomForestClassifier,horse,recall_macro,None,100,0.86
MLPClassifier,horse,accuracy,relu,1e-06,0.84
MLPClassifier,horse,precision_macro,logistic,0.001,0.76
MLPClassifier,horse,recall_macro,relu,1e-05,0.81
SVC,hr,accuracy,1000,rbf,0.95
SVC,hr,precision_macro,1000,rbf,0.94
SVC,hr,recall_macro,1000,rbf,0.94
KNeighborsClassifier,hr,accuracy,3,distance,0.93
KNeighborsClassifier,hr,precision_macro,3,distance,0.91
KNeighborsClassifier,hr,recall_macro,3,distance,0.92
RandomForestClassifier,hr,accuracy,None,30,0.97
RandomForestClassifier,hr,precision_macro,None,10,0.97
RandomForestClassifier,hr,recall_macro,None,10,0.96
MLPClassifier,hr,accuracy,relu,1e-06,0.95
MLPClassifier,hr,precision_macro,relu,0.001,0.94
MLPClassifier,hr,recall_macro,relu,0.001,0.94
SVC,english,accuracy,1000,rbf,0.54
SVC,english,precision_macro,1000,rbf,0.55
SVC,english,recall_macro,1000,rbf,0.53
KNeighborsClassifier,english,accuracy,3,distance,0.61
KNeighborsClassifier,english,precision_macro,8,distance,0.60
KNeighborsClassifier,english,recall_macro,3,distance,0.60
RandomForestClassifier,english,accuracy,None,30,0.61
RandomForestClassifier,english,precision_macro,None,10,0.61
RandomForestClassifier,english,recall_macro,None,30,0.62
MLPClassifier,english,accuracy,relu,1e-06,0.52
MLPClassifier,english,precision_macro,relu,0.001,0.48
MLPClassifier,english,recall_macro,relu,1e-06,0.53
SVC,phishing,accuracy,100,rbf,0.88
SVC,phishing,precision_macro,100,poly,0.84
SVC,phishing,recall_macro,1000,rbf,0.84
KNeighborsClassifier,phishing,accuracy,3,distance,0.86
KNeighborsClassifier,phishing,precision_macro,30,distance,0.84
KNeighborsClassifier,phishing,recall_macro,1,uniform,0.82
RandomForestClassifier,phishing,accuracy,None,100,0.89
RandomForestClassifier,phishing,precision_macro,None,100,0.89
RandomForestClassifier,phishing,recall_macro,None,10,0.86
MLPClassifier,phishing,accuracy,relu,0.001,0.85
MLPClassifier,phishing,precision_macro,identity,0.001,0.80
MLPClassifier,phishing,recall_macro,relu,0.001,0.75
SVC,wine,accuracy,1000,rbf,0.60
SVC,wine,precision_macro,1000,rbf,0.47
SVC,wine,recall_macro,1000,rbf,0.45
KNeighborsClassifier,wine,accuracy,30,distance,0.64
KNeighborsClassifier,wine,precision_macro,30,distance,0.51
KNeighborsClassifier,wine,recall_macro,30,distance,0.49
RandomForestClassifier,wine,accuracy,None,100,0.67
RandomForestClassifier,wine,precision_macro,None,50,0.54
RandomForestClassifier,wine,recall_macro,None,30,0.52
MLPClassifier,wine,accuracy,relu,0.001,0.61
MLPClassifier,wine,precision_macro,logistic,0.001,0.46
MLPClassifier,wine,recall_macro,relu,0.001,0.46
SVC,amazon,accuracy,1,linear,0.55
SVC,amazon,precision_macro,1,linear,0.55
SVC,amazon,recall_macro,1,linear,0.54
KNeighborsClassifier,amazon,accuracy,3,distance,0.21
KNeighborsClassifier,amazon,precision_macro,8,distance,0.23
KNeighborsClassifier,amazon,recall_macro,3,distance,0.21
RandomForestClassifier,amazon,accuracy,None,100,0.51
RandomForestClassifier,amazon,precision_macro,None,100,0.48
RandomForestClassifier,amazon,recall_macro,None,100,0.50
MLPClassifier,amazon,accuracy,logistic,1e-06,0.63
MLPClassifier,amazon,precision_macro,logistic,1e-05,0.66
MLPClassifier,amazon,recall_macro,logistic,0.001,0.64
SVC,congress,accuracy,1,linear,0.96
SVC,congress,precision_macro,100,poly,0.94
SVC,congress,recall_macro,1,linear,0.96
KNeighborsClassifier,congress,accuracy,1,uniform,0.92
KNeighborsClassifier,congress,precision_macro,1,uniform,0.92
KNeighborsClassifier,congress,recall_macro,5,uniform,0.93
RandomForestClassifier,congress,accuracy,None,50,0.97
RandomForestClassifier,congress,precision_macro,None,10,0.95
RandomForestClassifier,congress,recall_macro,None,100,0.96
MLPClassifier,congress,accuracy,relu,1e-06,0.96
MLPClassifier,congress,precision_macro,relu,1e-05,0.96
MLPClassifier,congress,recall_macro,relu,0.001,0.95
SVC,covertype,accuracy,1000,rbf,0.74
SVC,covertype,precision_macro,1000,rbf,0.69
SVC,covertype,recall_macro,1000,rbf,0.63
KNeighborsClassifier,covertype,accuracy,8,distance,0.69
KNeighborsClassifier,covertype,precision_macro,5,distance,0.65
KNeighborsClassifier,covertype,recall_macro,5,distance,0.60
RandomForestClassifier,covertype,accuracy,None,50,0.75
RandomForestClassifier,covertype,precision_macro,None,100,0.68
RandomForestClassifier,covertype,recall_macro,None,100,0.61
MLPClassifier,covertype,accuracy,relu,1e-05,0.71
MLPClassifier,covertype,precision_macro,relu,1e-06,0.63
MLPClassifier,covertype,recall_macro,relu,1e-05,0.62
SVC,kidney,accuracy,10,linear,0.99
SVC,kidney,precision_macro,1000,rbf,0.99
SVC,kidney,recall_macro,1000,rbf,0.99
KNeighborsClassifier,kidney,accuracy,1,uniform,0.99
KNeighborsClassifier,kidney,precision_macro,1,uniform,0.99
KNeighborsClassifier,kidney,recall_macro,1,uniform,1.00
RandomForestClassifier,kidney,accuracy,None,100,0.99
RandomForestClassifier,kidney,precision_macro,None,50,0.99
RandomForestClassifier,kidney,recall_macro,None,50,0.99
MLPClassifier,kidney,accuracy,relu,1e-06,0.99
MLPClassifier,kidney,precision_macro,relu,0.001,0.98
MLPClassifier,kidney,recall_macro,relu,1e-05,0.98
